idx,value,img1_x,img1_y,photo_x,photo_y,screenshot_x,screenshot_y,u_major,v_minor,r_norm,theta_deg
1,3,533.3,330.9,660.7,470.0,1123.7,586.0,-0.6823,-0.5805,0.8958,-139.61
2,10,111.4,367.8,552.0,483.9,1015.0,599.9,-0.3597,-0.7884,0.8665,-114.53
3,50,822.5,523.9,737.5,516.8,1200.5,632.8,-0.8012,-0.2458,0.8381,-162.95
4,800,1061.7,700.5,801.3,560.0,1264.3,676.0,-0.8917,0.0461,0.8929,177.04
5,500,1099.2,918.9,813.2,616.1,1276.2,732.1,-0.8166,0.2598,0.8569,162.35
6,3,1128.2,1140.1,823.1,673.0,1286.1,789.0,-0.734,0.4711,0.8722,147.3
7,5,1016.4,1178.8,794.6,684.2,1257.6,800.2,-0.6349,0.4416,0.7734,145.18
8,900,1129.0,1379.6,825.8,735.0,1288.8,851.0,-0.6224,0.6825,0.9237,132.36
9,10,1032.8,1449.4,801.6,754.0,1264.6,870.0,-0.5201,0.6892,0.8634,127.04
10,70,667.3,1641.7,709.1,807.6,1172.1,923.6,-0.1656,0.6503,0.671,104.28
11,100,859.6,1749.5,760.0,833.5,1223.0,949.5,-0.2543,0.8548,0.8918,106.57
12,4,213.7,1753.9,592.9,841.4,1055.9,957.4,0.2153,0.4906,0.5358,66.31
13,80,654.2,1813.5,707.5,852.2,1170.5,968.2,-0.0756,0.7941,0.7977,95.44
