id,confidence,rel_contrast,n_strokes,img1_x0,img1_y0,img1_w,img1_h,photo_x,photo_y,photo_w,photo_h,r_norm,theta_deg
1,strong,13.98,1,764,404,29,40,725.1,491.6,7.5,10.4,0.8909,-156.28
2,strong,10.99,1,975,869,54,187,789.8,628.9,14.0,48.4,0.7692,161.23
3,strong,10.45,2,825,463,29,39,741.4,505.9,7.5,10.1,0.8765,-161.85
4,strong,10.42,3,1039,627,50,132,803.7,559.3,12.9,34.2,0.901,176.86
5,strong,10.33,3,1037,1147,42,139,806.7,692.9,10.9,36.0,0.8204,142.55
6,strong,8.9,1,645,277,57,23,696.8,457.4,14.8,6.0,0.9677,-146.25
7,strong,8.87,2,1108,894,58,66,822.5,616.3,15.0,17.1,0.8875,161.47
8,strong,8.26,2,445,1810,34,105,657.4,869.0,8.8,27.2,0.7387,82.76
9,strong,8.16,1,677,1594,69,67,721.6,805.3,17.9,17.3,0.7021,106.91
10,strong,8.01,3,1154,1110,32,117,833.9,681.7,8.3,30.3,0.9128,144.88
11,moderate,7.49,2,837,1742,57,48,761.1,837.1,14.8,12.4,0.9048,106.06
12,moderate,7.38,1,1137,672,28,51,824.5,558.2,7.2,13.2,0.963,174.37
13,moderate,7.05,1,626,1829,30,48,705.2,863.5,7.8,12.4,0.8278,93.3
14,moderate,6.93,1,1145,1337,30,61,832.3,731.1,7.8,15.8,0.9426,133.4
15,moderate,6.9,2,39,284,69,62,540.3,470.2,17.9,16.1,0.9311,-112.36
16,moderate,6.88,2,174,1901,92,39,598.1,885.4,23.8,10.1,0.7085,66.23
17,moderate,6.41,4,856,1491,101,130,768.6,781.8,26.1,33.7,0.7987,118.16
18,moderate,6.17,1,473,250,91,63,657.7,457.7,23.6,16.3,0.9388,-138.0
19,moderate,6.15,2,240,253,75,45,592.0,458.4,19.4,11.7,0.9356,-123.59
20,moderate,5.7,1,697,1788,37,59,723.2,853.4,9.6,15.3,0.8431,97.91
21,moderate,5.43,3,369,1718,43,106,641.0,845.7,11.1,27.4,0.6241,81.46
22,moderate,5.17,1,57,197,92,19,548.3,442.1,23.8,4.9,1.0295,-114.69
23,moderate,5.16,2,1010,1409,61,150,805.6,762.4,15.8,38.8,0.89,125.34
24,weak,3.88,11,0,1601,270,276,556.7,841.6,69.9,71.5,0.5138,52.32
25,weak,3.72,1,240,195,27,12,586.9,439.2,7.0,3.1,1.0113,-122.32
26,weak,3.18,1,6,1507,27,27,540.5,783.4,7.0,7.0,0.3031,35.59
